State,Assembly,Candidate,Party,Votes
Jharkhand,Chatra,NAUSHAD ALAM,All India Trinamool Congress,"  7,841 "
Jharkhand,Chatra,BALWANT KUMAR,Jharkhand Party,"  6,845 "
Jharkhand,Chatra,SUDHANSHU SUMAN,Independent,"  5,843 "
Jharkhand,Chatra,MAHESH SINGH YADAV,Janata Dal (United),"  5,783 "
Jharkhand,Chatra,SAGAR RAM,Akhil Bharat Hindu Mahasabha,"  5,743 "
Jharkhand,Chatra,CHANDRADEO THAKUR,Socialist Party (India),"  4,725 "
Jharkhand,Chatra,MISTAR ALAM ASRAFEE,Rashtriya Jankranti Morcha,"  4,647 "
Jharkhand,Chatra,ANIL KUMAR ORAON,Independent,"  4,209 "
Jharkhand,Chatra,ASHISH BHUSHAN PATHAK,Independent,"  2,944 "
Jharkhand,Chatra,ROBIN SINGH,Independent,"  2,016 "
Jharkhand,Chatra,None of the Above,None of the Above,"  5,791 "
Jharkhand,Dhanbad,PASHUPATI NATH SINGH,Bharatiya Janata Party,"  543,491 "
Jharkhand,Dhanbad,AJAY KUMAR DUBEY,Indian National Congress,"  250,537 "
Jharkhand,Dhanbad,ANAND MAHATO,Marxist Co-Ordination,"  110,185 "
Jharkhand,Dhanbad,SAMARESH SINGH,Jharkhand Vikas Morcha (Prajatantrik),"  90,926 "
Jharkhand,Dhanbad,CHANDRA SHEKHAR DUBEY,All India Trinamool Congress,"  29,937 "
Jharkhand,Dhanbad,HEMLATA S. MOHAN,AJSU Party,"  21,277 "
Jharkhand,Dhanbad,DR. KRISHNA CHANDRA SINGHRAJ,Independent,"  13,200 "
Jharkhand,Dhanbad,RAMA KANT VERMA,Aam Aadmi Party,"  8,948 "
Jharkhand,Dhanbad,HIRALAL SANKHWAR,Jharkhand Party,"  8,580 "
Jharkhand,Dhanbad,MADAN MOHAN RAM,Bahujan Samaj Party,"  8,455 "
Jharkhand,Dhanbad,GANPAT MAHTO,Independent,"  5,441 "
Jharkhand,Dhanbad,KISHOR KUMAR MURMU,Bahujan Mukti Party,"  4,531 "
Jharkhand,Dhanbad,AKLU RAM MAHTO,Samajwadi Party,"  4,169 "
Jharkhand,Dhanbad,RITU RANI SINGH,Independent,"  3,814 "
Jharkhand,Dhanbad,MANTOSH KUMAR MANDAL,Amra Bangalee,"  3,413 "
Jharkhand,Dhanbad,AHMAD HUSSAIN ANSARI,Jharkhand Disom Party,"  3,120 "
Jharkhand,Dhanbad,MD. ZUBAIR,All India Minorities Front,"  3,094 "
Jharkhand,Dhanbad,GAUTAM KUMAR MAHATO,Independent,"  3,000 "
Jharkhand,Dhanbad,JAYANT PANDEY,All India Forward Bloc,"  2,518 "
Jharkhand,Dhanbad,SUMAN BANERJEE,Independent,"  2,104 "
Jharkhand,Dhanbad,RAMESH BHARATI,Independent,"  2,052 "
Jharkhand,Dhanbad,MANILAL MAHTO,Independent,"  1,888 "
Jharkhand,Dhanbad,VIJAY KANT MISHRA,Independent,"  1,537 "
Jharkhand,Dhanbad,RANBIR SINGH,Independent,"  1,516 "
Jharkhand,Dhanbad,MUNSHI HEMBRAM,Independent,"  1,486 "
Jharkhand,Dhanbad,BINOD SINGH,Independent,"  1,457 "
Jharkhand,Dhanbad,PARSHURAM PASWAN,Independent,"  1,359 "
Jharkhand,Dhanbad,PREM PRAKASH PASWAN,Independent,"  1,226 "
Jharkhand,Dhanbad,TARCH MURMU,Independent,"  1,190 "
Jharkhand,Dhanbad,RAMESH KUMAR RAY,Independent,  965 
Jharkhand,Dhanbad,PAWAN MAHATO,Independent,  811 
Jharkhand,Dhanbad,None of the Above,None of the Above,"  7,675 "
Jharkhand,Dumka,SHIBU SOREN,Jharkhand Mukti Morcha,"  335,815 "
Jharkhand,Dumka,SUNIL SOREN,Bharatiya Janata Party,"  296,785 "
Jharkhand,Dumka,BABU LAL MARANDI,Jharkhand Vikas Morcha (Prajatantrik),"  158,122 "
Jharkhand,Dumka,CHHAYA KOLE,Communist Party of India,"  26,442 "
Jharkhand,Dumka,SHRILAL KISKU,Independent,"  10,347 "
Jharkhand,Dumka,PULIS HEMRAM,Independent,"  10,283 "
Jharkhand,Dumka,BAGHRAI SOREN,Independent,"  9,436 "
Jharkhand,Dumka,SOKOL HANSDA,Bahujan Samaj Party,"  9,059 "
Jharkhand,Dumka,BABULAL SOREN,All India Trinamool Congress,"  6,284 "
Jharkhand,Dumka,BITIYA MANJHI,Communist Party of India (Marxist-Leninist) (Liberation),"  5,813 "
Jharkhand,Dumka,JOSHIL MURMU,Independent,"  4,567 "
Jharkhand,Dumka,STEPHAN BESRA,Jharkhand Disom Party,"  4,310 "
Jharkhand,Dumka,SAHADEO SOREN,Aam Aadmi Party,"  3,739 "
Jharkhand,Dumka,UMANATH KOLE,Independent,"  3,733 "
Jharkhand,Dumka,None of the Above,None of the Above,"  18,325 "
Jharkhand,Giridih,RAVINDRA KUMAR PANDEY,Bharatiya Janata Party,"  391,913 "
Jharkhand,Giridih,JAGARNATH MAHTO,Jharkhand Mukti Morcha,"  351,600 "
Jharkhand,Giridih,SABA AHMAD,Jharkhand Vikas Morcha (Prajatantrik),"  57,380 "
Jharkhand,Giridih,UMESH CHANDRA MEHTA,AJSU Party,"  55,531 "
Jharkhand,Giridih,JALESHWAR MAHATO,Janata Dal (United),"  40,010 "
Jharkhand,Giridih,SANJEEV KUMAR MAHATO,Independent,"  13,132 "
Jharkhand,Giridih,ASHUTOSH VERMA,All India Trinamool Congress,"  11,355 "
Jharkhand,Giridih,GURJEET SINGH,Aam Aadmi Party,"  7,071 "
Jharkhand,Giridih,DILIP KR RAJAK,Independent,"  6,406 "
Jharkhand,Giridih,KARTIK MAHTO,Bahujan Samaj Party,"  6,341 "
Jharkhand,Giridih,SOHRAB SHAH,Bahujan Mukti Party,"  5,072 "
Jharkhand,Giridih,BIDESHI MAHTO,Jharkhand Disom Party,"  4,325 "
Jharkhand,Giridih,SHIVA MAHTO,Independent,"  3,660 "
Jharkhand,Giridih,SAJJADUR RAB HASAMI,Independent,"  3,512 "
Jharkhand,Giridih,SANJEEV KUMAR SINHA,All India Forward Bloc,"  2,988 "
Jharkhand,Giridih,JEETENDRA KUMAR,Samajwadi Party,"  2,825 "
Jharkhand,Giridih,MRINAL KANTI DEV,Socialist Party (Lohia),"  1,997 "
Jharkhand,Giridih,None of the Above,None of the Above,"  4,879 "
Jharkhand,Godda,NISHIKANT DUBEY,Bharatiya Janata Party,"  380,500 "
Jharkhand,Godda,FURKAN ANSARI,Indian National Congress,"  319,818 "
Jharkhand,Godda,PRADIP YADAV,Jharkhand Vikas Morcha (Prajatantrik),"  193,506 "
Jharkhand,Godda,DAMODAR SINGH,All India Trinamool Congress,"  28,246 "
Jharkhand,Godda,SUNIL KUMAR GUPTA,Independent,"  22,349 "
Jharkhand,Godda,MANRAJ,Bahujan Samaj Party,"  20,871 "
Jharkhand,Godda,RAJVARDHAN AZAD,Janata Dal (United),"  14,034 "
Jharkhand,Godda,SUBODH PRASAD,AJSU Party,"  10,998 "
Jharkhand,Godda,NIRANJAN PRASAD YADAV,Independent,"  9,059 "
Jharkhand,Godda,MANOJ KUMAR RAY,Independent,"  7,447 "
Jharkhand,Godda,NAVIN CHANDRA JHA,Independent,"  7,278 "
Jharkhand,Godda,MD. NOOR HASSAN,Samata Party,"  5,132 "
Jharkhand,Godda,JAI SHANKAR JHA,Aam Aadmi Party,"  5,080 "
Jharkhand,Godda,MD. JENUL,Bahujan Mukti Party,"  4,466 "
Jharkhand,Godda,GITA MANDAL,Communist Party of India (Marxist-Leninist) (Liberation),"  4,344 "
Jharkhand,Godda,MAHENDRA MURMU,Jharkhand Vikas Dal,"  3,904 "
Jharkhand,Godda,None of the Above,None of the Above,"  12,410 "
Jharkhand,Hazaribagh,JAYANT SINHA,Bharatiya Janata Party,"  406,931 "
Jharkhand,Hazaribagh,SAURABH NARAIN SINGH,Indian National Congress,"  247,803 "
Jharkhand,Hazaribagh,LOKNATH MAHTO,AJSU Party,"  156,186 "
Jharkhand,Hazaribagh,ARUN KUMAR MISHRA,Jharkhand Vikas Morcha (Prajatantrik),"  30,408 "
Jharkhand,Hazaribagh,BHUVNESHWAR PRASAD MEHTA,Communist Party of India,"  30,326 "
Jharkhand,Hazaribagh,BADRI GOPE,Independent,"  14,555 "
Jharkhand,Hazaribagh,JAVED ISLAM,Communist Party of India (Marxist-Leninist) (Liberation),"  8,453 "
Jharkhand,Hazaribagh,AJIT KUMAR SINGH,All India Trinamool Congress,"  8,360 "
Jharkhand,Hazaribagh,TETRI @ SHEELA DEVI,Bahujan Samaj Party,"  8,159 "
Jharkhand,Hazaribagh,PRAYAG PRASAD,Independent,"  8,085 "
Jharkhand,Hazaribagh,MITHILESH KUMAR DANGI,Aam Aadmi Party,"  7,140 "
Jharkhand,Hazaribagh,BALDEO GANJHU,Independent,"  5,152 "
Jharkhand,Hazaribagh,DR. DHIRENDRA KUMAR RAJ,Independent,"  4,481 "
Jharkhand,Hazaribagh,RAMESHWAR RAM KUSHWAHA,All India Forward Bloc,"  4,423 "
Jharkhand,Hazaribagh,MAHENDRA KISHOR MEHTA,Independent,"  3,752 "
Jharkhand,Hazaribagh,YASHPAL YADAV,Independent,"  3,540 "
Jharkhand,Hazaribagh,RAMAVTAR MAHTO,Independent,"  3,365 "
Jharkhand,Hazaribagh,MO. SHANUL HAQUE,Indian Union Muslim League,"  3,189 "
Jharkhand,Hazaribagh,PRAMOD KUMAR MAHTHA,Pragatisheel Magahi Samaj,"  3,076 "
Jharkhand,Hazaribagh,ABDUL RAHIM,Bahujan Mukti Party,"  2,941 "
Jharkhand,Hazaribagh,None of the Above,None of the Above,"  6,827 "
Jharkhand,Jamshedpur,BIDYUT BARAN MAHATO,Bharatiya Janata Party,"  464,153 "
Jharkhand,Jamshedpur,AJAY KUMAR,Jharkhand Vikas Morcha (Prajatantrik),"  364,277 "
Jharkhand,Jamshedpur,NIROOP MAHANTY,Jharkhand Mukti Morcha,"  138,109 "
Jharkhand,Jamshedpur,ANGAD MAHATO,Amra Bangalee,"  12,632 "
Jharkhand,Jamshedpur,KUMAR CHANDRA MARDI,Aam Aadmi Party,"  7,145 "
Jharkhand,Jamshedpur,OM PRAKASH ANAND,Independent,"  5,655 "
Jharkhand,Jamshedpur,MOBIN KHAN,Independent,"  5,406 "
Jharkhand,Jamshedpur,JOSAI MARDI,Rashtriya Deshaj Party,"  5,378 "
Jharkhand,Jamshedpur,DINESH MAHATO,Independent,"  5,300 "
Jharkhand,Jamshedpur,SEKH AKHIRUDDIN,Jharkhand Party (Naren),"  4,822 "
Jharkhand,Jamshedpur,DAMAN CHANDRA BHAKAT,Bahujan Samaj Party,"  4,606 "
Jharkhand,Jamshedpur,HARI ORAWN,Independent,"  4,485 "
Jharkhand,Jamshedpur,UPENDRA KARMAKAR,Independent,"  4,429 "
Jharkhand,Jamshedpur,SITA RAM TUDU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),"  3,700 "
Jharkhand,Jamshedpur,D.G.RAJA,Samajwadi Party,"  3,414 "
Jharkhand,Jamshedpur,None of the Above,None of the Above,"  15,629 "
Jharkhand,Khunti,KARIA MUNDA,Bharatiya Janata Party,"  269,185 "
Jharkhand,Khunti,ANOSH EKKA,Jharkhand Party,"  176,937 "
Jharkhand,Khunti,KALI CHARAN MUNDA,Indian National Congress,"  147,017 "
Jharkhand,Khunti,NEIL TIRKEY,AJSU Party,"  27,158 "
Jharkhand,Khunti,BASANT KUMAR LONGA,Jharkhand Vikas Morcha (Prajatantrik),"  24,514 "
Jharkhand,Khunti,MAHADEV RAVINATH PAHAN,Rashtriya Deshaj Party,"  13,566 "
Jharkhand,Khunti,DAYAMANI BARLA,Aam Aadmi Party,"  11,822 "
Jharkhand,Khunti,JAITUN TUTI,Independent,"  11,364 "
Jharkhand,Khunti,JITENDRA MANKI ALIAS JITENDRA PRASAD MANKI,Independent,"  6,596 "
Jharkhand,Khunti,SUBODH PURTY,Bahujan Samaj Party,"  6,407 "
Jharkhand,Khunti,KALYAN NAG,Independent,"  4,958 "
Jharkhand,Khunti,BUDAY MUNDA,Akhil Bhartiya Jharkhand Party,"  4,841 "
Jharkhand,Khunti,NITIMA BODRA BARI,Samajwadi Party,"  4,425 "
Jharkhand,Khunti,ASRITA TUTI,Independent,"  4,349 "
Jharkhand,Khunti,None of the Above,None of the Above,"  23,816 "
Jharkhand,Kodarma,RAVINDRA KR. RAY,Bharatiya Janata Party,"  365,410 "
Jharkhand,Kodarma,RAJKUMAR YADAV,Communist Party of India (Marxist-Leninist) (Liberation),"  266,756 "
Jharkhand,Kodarma,PRANAV KUMAR VERMA,Jharkhand Vikas Morcha (Prajatantrik),"  160,638 "
Jharkhand,Kodarma,TILAKDHARI PD SINGH,Indian National Congress,"  60,330 "
Jharkhand,Kodarma,NAJRUL HASSAN HASHMI,AJSU Party,"  25,522 "
Jharkhand,Kodarma,KANCHAN KUMARI,Independent,"  20,669 "
Jharkhand,Kodarma,KRISHNA SINGH,Janata Dal (United),"  18,727 "
Jharkhand,Kodarma,MANJU KUMARI,All India Trinamool Congress,"  12,785 "
Jharkhand,Kodarma,BISHESHWAR PRASAD,Bahujan Samaj Party,"  12,459 "
Jharkhand,Kodarma,VIJAY KUMAR CHOURASIYA,Aam Aadmi Party,"  11,880 "
Jharkhand,Kodarma,SHIVANATH SAV,Independent,"  11,117 "
Jharkhand,Kodarma,JAIDEO CHAUDHARY,Samajwadi Party,"  7,838 "
Jharkhand,Kodarma,RAGHUNANDAN PRASAD VISHWAKARMA,All India Forward Bloc,"  6,992 "
Jharkhand,Kodarma,DR. SURAJ MANDAL,Jharkhand Vikas Dal,"  6,966 "
Jharkhand,Kodarma,RAMESHWAR PRASAD YADAV,Independent,"  6,334 "
Jharkhand,Kodarma,MAHENDRA RAVIDAS,Bahujan Mukti Party,"  6,141 "
Jharkhand,Kodarma,PHALJIT MAHTO,Independent,"  5,996 "
Jharkhand,Kodarma,YOGENDRA RAM,Akhil Bharatiya Jan Sangh,"  4,516 "
Jharkhand,Kodarma,MD. JALIL ANSARI,National Loktantrik Party,"  4,245 "
Jharkhand,Kodarma,MANOJ KUMAR,Independent,"  2,873 "
Jharkhand,Kodarma,None of the Above,None of the Above,"  6,712 "
Jharkhand,Lohardaga,SUDARSHAN BHAGAT,Bharatiya Janata Party,"  226,666 "
Jharkhand,Lohardaga,RAMESHWAR ORAON,Indian National Congress,"  220,177 "
Jharkhand,Lohardaga,CHAMRA LINDA,All India Trinamool Congress,"  118,355 "
Jharkhand,Lohardaga,BIRENDRA BHAGAT,Jharkhand Vikas Morcha (Prajatantrik),"  26,109 "
Jharkhand,Lohardaga,LAL SAY KUMAR BHAGAT,Communist Party of India (Marxist-Leninist) (Liberation),"  13,252 "
Jharkhand,Lohardaga,JAYRAM INDWAR,Bahujan Samaj Party,"  11,794 "
Jharkhand,Lohardaga,MAHENDRA ORAON,Independent,"  6,436 "
Jharkhand,Lohardaga,RANJIT ORAON,Independent,"  6,037 "
Jharkhand,Lohardaga,NAWAL KISHOR SINGH,Independent,"  5,870 "
Jharkhand,Lohardaga,None of the Above,None of the Above,"  16,764 "
Jharkhand,Palamau,VISHNU DAYAL RAM,Bharatiya Janata Party,"  476,513 "
Jharkhand,Palamau,MANOJ KUMAR,Rashtriya Janata Dal,"  212,571 "
Jharkhand,Palamau,GHURAN RAM,Jharkhand Vikas Morcha (Prajatantrik),"  156,832 "
Jharkhand,Palamau,KAMESHWAR BAITHA,All India Trinamool Congress,"  37,043 "
Jharkhand,Palamau,RAMPATI RANJAN,Bahujan Samaj Party,"  20,481 "
Jharkhand,Palamau,SHYAM LAL RAM,Independent,"  9,592 "
Jharkhand,Palamau,RAVINDRA KUMAR RAVI,Independent,"  9,145 "
Jharkhand,Palamau,SHUSHMA MEHTA,Communist Party of India (Marxist-Leninist) (Liberation),"  8,386 "
Jharkhand,Palamau,JORAWAR RAM,Janata Dal (United),"  7,538 "
Jharkhand,Palamau,VINOD RAM,Independent,"  5,879 "
Jharkhand,Palamau,ASHOK RAM,Independent,"  5,648 "
Jharkhand,Palamau,RAM BADAN RAM,Samajwadi Party,"  4,976 "
Jharkhand,Palamau,LALDEO RAM,Bahujan Mukti Party,"  4,432 "
Jharkhand,Palamau,None of the Above,None of the Above,"  18,287 "
Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,"  379,507 "
Jharkhand,Rajmahal,HEMLAL MURMU,Bharatiya Janata Party,"  338,170 "
Jharkhand,Rajmahal,DR. ANIL MURMU,Jharkhand Vikas Morcha (Prajatantrik),"  97,374 "
Jharkhand,Rajmahal,JYOTIN SOREN,Communist Party of India (Marxist),"  58,034 "
Jharkhand,Rajmahal,KRISHNA SINGH,Indian Union Muslim League,"  16,354 "
Jharkhand,Rajmahal,BARNARD HEMBROM,Rashtriya Krantikari Samajwadi Party,"  8,686 "
Jharkhand,Rajmahal,DR. SURAE SOREN,Independent,"  7,906 "
Jharkhand,Rajmahal,TALA HANSDA,Independent,"  7,661 "
Jharkhand,Rajmahal,ARJUN PRASAD SINGH,AJSU Party,"  6,761 "
Jharkhand,Rajmahal,SUNIRAM HEMBROM,Independent,"  6,460 "
Jharkhand,Rajmahal,ARUN MARANDI,Bahujan Samaj Party,"  4,775 "
Jharkhand,Rajmahal,None of the Above,None of the Above,"  19,875 "
Jharkhand,Ranchi,RAM TAHAL CHOUDHARY,Bharatiya Janata Party,"  448,729 "
Jharkhand,Ranchi,SUBODH KANT SAHAY,Indian National Congress,"  249,426 "
Jharkhand,Ranchi,SUDESH KUMAR MAHTO,AJSU Party,"  142,560 "
Jharkhand,Ranchi,AMITABH CHOUDHARY,Jharkhand Vikas Morcha (Prajatantrik),"  67,712 "
Jharkhand,Ranchi,BANDHU TIRKEY,All India Trinamool Congress,"  46,126 "
Jharkhand,Ranchi,VIKAS CHANDRA SHARMA,Communist Party of India (Marxist-Leninist) Red Star,"  14,898 "
Jharkhand,Ranchi,RAJENDRA SINGH MUNDA,Communist Party of India (Marxist),"  10,178 "
Jharkhand,Ranchi,AMANULLAH,Aam Aadmi Party,"  8,497 "
Jharkhand,Ranchi,KAFILUR RAHMAN,Independent,"  4,696 "
Jharkhand,Ranchi,"YUGESHWAR MARAR ""DEEN""",Manav Mukti Morcha,"  4,409 "
Jharkhand,Ranchi,MAN SINGH MARDI,Jharkhand Party (Naren),"  4,240 "
Jharkhand,Ranchi,RAM LAL MAHTO,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),"  4,190 "
Jharkhand,Ranchi,SURESH TOPPO,Jharkhand Disom Party,"  4,085 "
Jharkhand,Ranchi,BAHADUR URAON,Communist Party of India (Marxist-Leninist) (Liberation),"  3,877 "
Jharkhand,Ranchi,RANJIT MAHTO,Bahujan Mukti Party,"  3,823 "
Jharkhand,Ranchi,LAL JOTINDRA DEV,Akhil Bhartiya Jharkhand Party,"  3,411 "
Jharkhand,Ranchi,BALRAM KUMAR BEDIA,Independent,"  2,889 "
Jharkhand,Ranchi,DURGA MUNDA,Bahujan Samaj Party,"  2,502 "
Jharkhand,Ranchi,SAJIYA HAIDAR,Independent,"  2,195 "
Jharkhand,Ranchi,BISHESHWAR MAHTO,Samata Party,"  2,130 "
Jharkhand,Ranchi,ARSAD AYUB,Independent,"  2,083 "
Jharkhand,Ranchi,AMIT KUMAR SINGH,Independent,"  1,987 "
Jharkhand,Ranchi,CHINTAMANI MAHTO,Independent,"  1,605 "
Jharkhand,Ranchi,THADDEUS LAKRA,Independent,"  1,504 "
Jharkhand,Ranchi,BIRENDRA KUMAR JAISWAL,Independent,"  1,366 "
Jharkhand,Ranchi,RAMPODO MAHTO,Independent,"  1,296 "
Jharkhand,Ranchi,ANJANI PANDEY,Independent,"  1,250 "
Jharkhand,Ranchi,ABUL HASAN,Independent,"  1,219 "
Jharkhand,Ranchi,None of the Above,None of the Above,"  6,900 "
Jharkhand,Singhbhum,LAXMAN GILUWA,Bharatiya Janata Party,"  303,131 "
Jharkhand,Singhbhum,GEETA KORA,Jai Bharat Samanta Party,"  215,607 "
Jharkhand,Singhbhum,CHITRASEN SINKU,Indian National Congress,"  111,796 "
Jharkhand,Singhbhum,DASHRATH GAGRAI,Jharkhand Vikas Morcha (Prajatantrik),"  35,681 "
Jharkhand,Singhbhum,SALKHAN MURMU,Jharkhand Disom Party,"  25,547 "
Jharkhand,Singhbhum,JOHN MIRAN MUNDA,All India Forward Bloc,"  16,952 "
Jharkhand,Singhbhum,SNEHLATA JOJO,Independent,"  12,877 "
Jharkhand,Singhbhum,RAJENDRA PURTY,Jharkhand Party,"  11,507 "
Jharkhand,Singhbhum,MANOHAR SINKU,Bahujan Samaj Party,"  9,303 "
Jharkhand,Singhbhum,RUPSINGH HEMBROM,Independent,"  8,895 "
Jharkhand,Singhbhum,NAVEEN MURMU,Rashtriya Deshaj Party,"  8,607 "
Jharkhand,Singhbhum,BUDHRAM LAGURI,Bahujan Mukti Party,"  8,346 "
Jharkhand,Singhbhum,None of the Above,None of the Above,"  27,037 "
Karnataka,Bagalkot,GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,Bharatiya Janata Party,"  571,548 "
Karnataka,Bagalkot,AJAY KUMAR SARNAIK,Indian National Congress,"  454,988 "
Karnataka,Bagalkot,SHANKAR BIDARI,Independent,"  10,959 "
Karnataka,Bagalkot,Y.C KAMBLE,Bahujan Samaj Party,"  7,370 "
Karnataka,Bagalkot,HUNASHYAL RAVI,Janata Dal (Secular),"  7,237 "
Karnataka,Bagalkot,VASANAGOUDA NINGANAGOUDA BHANDI,Independent,"  4,325 "
Karnataka,Bagalkot,PARASHURAM MANASING RATHOD,Independent,"  3,897 "
Karnataka,Bagalkot,MUTTAPPA MUDAKAPPA HIREKUMBI,Independent,"  2,037 "
Karnataka,Bagalkot,KAZI KUTUBUDDIN,Aam Aadmi Party,"  2,004 "
Karnataka,Bagalkot,NAGAPPA PAKKIRAPPA SHIRAGUPPI,Independent,"  1,194 "
Karnataka,Bagalkot,KANABUR SADASHIV SIDAMALLAPPA,Janata Dal (United),"  1,180 "
Karnataka,Bagalkot,AJJODI BHEEMAPPA DHOOLAPPA,Independent,  994 
Karnataka,Bagalkot,MAHESH BASAPPA NANDIHAL,Karunaadu Party,  813 
Karnataka,Bagalkot,None of the Above,None of the Above,"  10,764 "
Karnataka,Bangalore central,P.C. MOHAN,Bharatiya Janata Party,"  557,130 "
Karnataka,Bangalore central,RIZWAN ARSHAD,Indian National Congress,"  419,630 "
Karnataka,Bangalore central,V. BALAKRISHNAN,Aam Aadmi Party,"  39,869 "
Karnataka,Bangalore central,NANDINI ALVA,Janata Dal (Secular),"  20,387 "
Karnataka,Bangalore central,R. MOHAN RAJU,Bahujan Samaj Party,"  5,806 "
Karnataka,Bangalore central,MODI SAIFULLA,Independent,"  3,204 "
Karnataka,Bangalore central,SEETHA RAMAN.E,Independent,"  2,543 "
Karnataka,Bangalore central,ISMAIL KHAN SAIF ALI,All India Trinamool Congress,"  2,276 "
Karnataka,Bangalore central,DR. MEER LAYAQ HUSSAIN,Independent,"  1,878 "
Karnataka,Bangalore central,RAMANUJ SINGH,Independent,"  1,836 "
Karnataka,Bangalore central,K.MURTHY,Independent,"  1,507 "
Karnataka,Bangalore central,G. NARAYANASWAMY (KAPALI),Independent,"  1,228 "
Karnataka,Bangalore central,ZAHEEDA SHEREEN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),"  1,198 "
Karnataka,Bangalore central,BHOVI RAMA C.B.K,Independent,  942 
Karnataka,Bangalore central,PRASHANTH.S.M,Independent,  903 
Karnataka,Bangalore central,H.L. MANJUNATHA,Kannada Chalavali Vatal Paksha,  707 
Karnataka,Bangalore central,B.K. NARAYANA-SWAMY,Independent,  700 
Karnataka,Bangalore central,B.V.VENKATESHAPPA,Independent,  668 
Karnataka,Bangalore central,BUDAYYA .B. PUJERI,Karunaadu Party,  553 
Karnataka,Bangalore central,SHAFI AHMED,Independent,  549 
Karnataka,Bangalore central,KADUGUDI SONNAPPA,Republican Party of India (A),  543 
Karnataka,Bangalore central,SURAIYA ZAITHOON,Independent,  519 
Karnataka,Bangalore central,DHANANJAYA. H.H,Independent,  422 
Karnataka,Bangalore central,SYED ASIF BUKHAARI,Independent,  411 
Karnataka,Bangalore central,AMBROSE D'MELLO,Independent,  366 
Karnataka,Bangalore central,E.SALAM,Independent,  365 
Karnataka,Bangalore central,None of the Above,None of the Above,"  8,449 "
Karnataka,Bangalore North,D.V SADANANDA GOWDA,Bharatiya Janata Party,"  718,326 "
Karnataka,Bangalore North,C.NARAYANA SWAMY,Indian National Congress,"  488,562 "
Karnataka,Bangalore North,ABDUL AZEEM,Janata Dal (Secular),"  92,681 "
Karnataka,Bangalore North,BABU MATHEW,Aam Aadmi Party,"  28,107 "
Karnataka,Bangalore North,V VELU,Bahujan Samaj Party,"  5,586 "
Karnataka,Bangalore North,SUN STAR D.JAYARAM,Gareeb Aadmi Party,"  3,784 "
Karnataka,Bangalore North,SUNIL.V.J,Independent,"  1,561 "
Karnataka,Bangalore North,S. RAMU,Independent,"  1,131 "
Karnataka,Bangalore North,MU.VENKATESH SIMHA BHOVI,Independent,"  1,033 "
Karnataka,Bangalore North,MANOHAR H.A.,Independent,  919 
Karnataka,Bangalore North,T.S.CHAITHANYA (S.J.R),Independent,  911 
Karnataka,Bangalore North,MUTHURAJU. M,Republican Party of India (A),  829 
Karnataka,Bangalore North,MOHAMMED QUTBUDDIN,Independent,  680 
Karnataka,Bangalore North,DR.MEERLAYAQ HUSSAIN,Independent,  612 
Karnataka,Bangalore North,None of the Above,None of the Above,"  11,996 "
Karnataka,Bangalore Rural,D K SURESH,Indian National Congress,"  652,723 "
Karnataka,Bangalore Rural,MUNIRAJU GOWDA . P,Bharatiya Janata Party,"  421,243 "
Karnataka,Bangalore Rural,R. PRABHAKARA REDDY,Janata Dal (Secular),"  317,870 "
Karnataka,Bangalore Rural,RAVI KRISHNA REDDY,Aam Aadmi Party,"  17,195 "
Karnataka,Bangalore Rural,C THOPAIAH,Bahujan Samaj Party,"  11,594 "
Karnataka,Bangalore Rural,BASAVEGOWDA,Republican Party of India (A),"  6,154 "
Karnataka,Bangalore Rural,MALLESHA,Independent,"  5,420 "
Karnataka,Bangalore Rural,SURESH,Independent,"  2,782 "
Karnataka,Bangalore Rural,M.P.MUNAWER SHARIFF,Independent,"  2,577 "
Karnataka,Bangalore Rural,S.SIDDARAMAIAH (HEGGADE),Independent,"  2,142 "
Karnataka,Bangalore Rural,J.T.PRAKASH,Independent,"  1,503 "
Karnataka,Bangalore Rural,K A MOHAN,Kamarajar Deseeya Congress,"  1,345 "
Karnataka,Bangalore Rural,SHANKARAPPA,Jai Vijaya Bharathi Party,"  1,008 "
Karnataka,Bangalore Rural,J NATARAJU,Independent,  958 
Karnataka,Bangalore Rural,KENCHAIAH,Independent,  859 
Karnataka,Bangalore Rural,None of the Above,None of the Above,"  9,871 "
Karnataka,Bangalore South,ANANTH KUMAR,Bharatiya Janata Party,"  633,816 "
Karnataka,Bangalore South,NANDAN NILEKANI,Indian National Congress,"  405,241 "
Karnataka,Bangalore South,RUTH MANORAMA,Janata Dal (Secular),"  25,677 "
Karnataka,Bangalore South,NINA P NAYAK,Aam Aadmi Party,"  21,403 "
Karnataka,Bangalore South,PRAMOD MUTALIK,Independent,"  4,247 "
Karnataka,Bangalore South,KHAN ABDUL R,Bahujan Samaj Party,"  2,747 "
Karnataka,Bangalore South,PRABHU,Independent,"  2,325 "
Karnataka,Bangalore South,YOGESH,Independent,"  2,061 "
Karnataka,Bangalore South,T.K. DASAR,Independent,  929 
